Title,MPAA Rating,Budget,Gross,Release Date,Genre,Runtime,Rating,Rating Count,Summary,Net Profit,ROI
Get Shorty,R,30250000.0,115101622.0,1995-10-20,Comedy,105.0,6.9,72078.0,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",84851622.0,2.805012297520661
Mr. Holland's Opus,PG,31000000.0,106269971.0,1995-12-29,Family,137.0,7.3,33906.0,A frustrated composer finds fulfillment as a high school music teacher.,75269971.0,2.428063580645161
Se7en,R,33000000.0,327311859.0,1995-09-22,Action,127.0,8.6,1323681.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",294311859.0,8.918541181818181
Casper,PG,50000000.0,287928194.0,1995-05-26,Family,100.0,6.1,110490.0,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,237928194.0,4.75856388
Congo,PG-13,50000000.0,152022101.0,1995-06-09,Drama,109.0,5.2,39870.0,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",102022101.0,2.04044202
Apollo 13,PG,52000000.0,355237933.0,1995-06-30,Drama,140.0,7.6,250975.0,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,303237933.0,5.831498711538462
Crimson Tide,R,53000000.0,157387195.0,1995-05-12,Thriller,116.0,7.3,95145.0,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so.",104387195.0,1.9695697169811321
Pocahontas,G,55000000.0,346079773.0,1995-06-14,Animation,81.0,6.7,156670.0,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,291079773.0,5.292359509090909
GoldenEye,PG-13,58000000.0,352194034.0,1995-11-16,Action,130.0,7.2,226013.0,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as Goldeneye is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",294194034.0,5.072310931034483
Jumanji,PG,65000000.0,262797249.0,1995-12-15,Family,104.0,7.0,277496.0,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",197797249.0,3.0430346
Braveheart,R,72000000.0,210000000.0,1995-05-24,Action,177.0,8.3,907287.0,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",138000000.0,1.9166666666666667
Die Hard: With a Vengeance,R,90000000.0,366101666.0,1995-05-19,Thriller,128.0,5.4,224254.0,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.",276101666.0,3.067796288888889
Batman Forever,PG-13,100000000.0,336529144.0,1995-06-16,Action,121.0,5.4,224254.0,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",236529144.0,2.36529144
Waterworld,PG-13,175000000.0,264218220.0,1995-07-28,Action,135.0,6.2,169984.0,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw smokers, and reluctantly helps a woman and a young girl try to find dry land.",89218220.0,0.5098184
Scream,R,14000000.0,173046663.0,1996-12-20,Horror,111.0,7.2,267513.0,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",159046663.0,11.360475928571429
The First Wives Club,PG,26000000.0,116400000.0,1996-09-20,Comedy,102.0,6.4,39451.0,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",90400000.0,3.476923076923077
The English Patient,R,27000000.0,231976425.0,1996-11-14,War,162.0,7.4,168450.0,"At the close of WWII, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.",204976425.0,7.591719444444444
The Birdcage,R,31000000.0,185260553.0,1996-03-08,Comedy,117.0,7.1,74466.0,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancï¿½es right-wing moralistic parents.,154260553.0,4.976146870967742
Phenomenon,PG,32000000.0,152036382.0,1996-07-05,Drama,123.0,6.4,71796.0,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",120036382.0,3.7511369375
A Time to Kill,R,40000000.0,152266007.0,1996-07-24,Crime,149.0,7.5,121642.0,"In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.",112266007.0,2.806650175
Star Trek: First Contact,PG-13,46000000.0,150000000.0,1996-11-21,Science Fiction,111.0,7.6,111959.0,The Borg travel back in time intent on preventing Earths first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,104000000.0,2.260869565217391
Broken Arrow,R,50000000.0,150270147.0,1996-02-09,Thriller,108.0,6.0,86863.0,Terrorists steal nuclear warheads from the U.S. military but dont count on a pilot and park ranger spoiling their plans.,100270147.0,2.00540294
Jerry Maguire,R,50000000.0,273552592.0,1996-12-06,Comedy,139.0,7.3,226489.0,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former secretary.",223552592.0,4.47105184
The Nutty Professor,PG-13,54000000.0,128769345.0,1996-06-26,Comedy,95.0,5.6,103475.0,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,74769345.0,1.3846175
101 Dalmatians,G,54000000.0,320689294.0,1996-11-17,Comedy,103.0,5.7,94582.0,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",266689294.0,4.93869062962963
The Rock,R,75000000.0,335062621.0,1996-06-06,Action,136.0,7.4,297268.0,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",260062621.0,3.4675016133333334
Independence Day,PG-13,75000000.0,816969268.0,1996-06-25,Action,145.0,7.0,503229.0,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankinds best weapon is the will to survive.",741969268.0,9.892923573333332
Mission: Impossible,PG-13,80000000.0,457696359.0,1996-05-22,Action,110.0,7.1,365266.0,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",377696359.0,4.7212044875
Ransom,R,80000000.0,309492681.0,1996-11-08,Thriller,117.0,6.6,112739.0,"When a multimillionaire mans son is kidnapped, he cooperates with the police at first but then turns the tables on the kidnappers when he uses the ransom money as a reward for the capture of the kidnappers.",229492681.0,2.8686585125
Space Jam,PG,80000000.0,250200000.0,1996-11-15,Comedy,88.0,6.4,145336.0,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",170200000.0,2.1275
Twister,PG-13,92000000.0,494471524.0,1996-05-10,Action,113.0,6.4,164803.0,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",402471524.0,4.374690478260869
The Hunchback of Notre Dame,PG,100000000.0,100138851.0,1996-06-21,Animation,91.0,6.9,130850.0,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",138851.0,0.00138851
Eraser,R,100000000.0,242295562.0,1996-06-21,Drama,115.0,6.1,98473.0,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,142295562.0,1.42295562
Michael,PG,119700000.0,119718203.0,1996-12-25,Fantasy,105.0,5.7,39051.0,Two tabloid reporters checking out a report of the Archangel Michael living with an old woman find that its true. But thats not the only surprise.,18203.0,0.0001520718462823726
Good Will Hunting,R,10000000.0,225933435.0,1997-12-05,Drama,126.0,8.3,787732.0,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",215933435.0,21.5933435
I Know What You Did Last Summer,R,17000000.0,125586134.0,1997-10-17,Horror,100.0,5.7,125924.0,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,108586134.0,6.387419647058824
Scream 2,R,24000000.0,172363301.0,1997-12-09,Horror,120.0,6.2,147635.0,"Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",148363301.0,6.181804208333333
My Best Friend's Wedding,PG-13,38000000.0,299288605.0,1997-06-19,Comedy,105.0,6.3,120020.0,"When a womans long-time friend reveals hes engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.",261288605.0,6.876015921052631
Liar Liar,PG-13,45000000.0,302710615.0,1997-03-21,Comedy,86.0,6.9,264851.0,A fast-track lawyer cant lie for 24 hours due to his sons birthday wish after he disappoints his son for the last time.,257710615.0,5.726902555555555
As Good as It Gets,PG-13,50000000.0,314178011.0,1997-12-19,Comedy,139.0,7.7,258974.0,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",264178011.0,5.28356022
George of the Jungle,PG,55000000.0,174400000.0,1997-07-15,Family,92.0,5.4,66725.0,A man raised in the jungle by apes falls in love with a wealthy American heiress.,119400000.0,2.170909090909091
The Lost World: Jurassic Park,PG-13,73000000.0,229074524.0,1997-05-23,Action,129.0,6.6,353168.0,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",156074524.0,2.1380071780821917
Con Air,R,75000000.0,224012234.0,1997-06-01,Action,115.0,6.9,261542.0,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,149012234.0,1.9868297866666667
Conspiracy Theory,R,75000000.0,136982834.0,1997-08-07,Action,135.0,6.7,88858.0,"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",61982834.0,0.8264377866666667
Face/Off,R,80000000.0,245676146.0,1997-06-27,Thriller,138.0,7.3,331618.0,"In order to foil a terrorist plot, an FBI agent undergoes a facial transplant surgery and assumes the identity and physical appearance of a terrorist, but the plan turns from bad to worse when the same terrorist impersonates the FBI agent.",165676146.0,2.070951825
Flubber,PG,80000000.0,177977226.0,1997-11-26,Science Fiction,93.0,5.3,79581.0,"An absent-minded professor discovers flubber, a rubber-like super-bouncy substance.",97977226.0,1.224715325
Hercules,G,85000000.0,252712101.0,1997-06-26,Animation,93.0,7.3,188044.0,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,167712101.0,1.9730835411764707
Air Force One,R,85000000.0,315156409.0,1997-07-25,Action,124.0,6.5,170035.0,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",230156409.0,2.7077224588235294
Men in Black,PG-13,90000000.0,589390539.0,1997-07-02,Thriller,98.0,7.3,486947.0,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,499390539.0,5.548783766666666
Contact,PG,90000000.0,171120329.0,1997-07-11,Science Fiction,150.0,7.4,239569.0,"Dr. Ellie Arroway (Jodie Foster), after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",81120329.0,0.9013369888888889
Tomorrow Never Dies,PG-13,110000000.0,333011068.0,1997-12-11,Action,119.0,6.5,171081.0,James Bond heads to stop a media moguls plan to induce war between China and the UK in order to obtain exclusive global media coverage.,223011068.0,2.0273733454545453
Batman and Robin,PG-13,160000000.0,238200000.0,1997-06-12,Action,125.0,7.8,978389.0,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,78200000.0,0.48875
Titanic,PG-13,200000000.0,1845034188.0,1997-11-18,Romance,194.0,7.8,978389.0,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",1645034188.0,8.22517094
There's Something About Mary,R,23000000.0,369884651.0,1998-07-15,Romance,119.0,7.1,278096.0,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",346884651.0,15.081941347826087
The Waterboy,PG-13,23000000.0,185991646.0,1998-11-06,Comedy,90.0,6.1,140363.0,A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,162991646.0,7.086593304347826
Shakespeare in Love,R,25000000.0,289317794.0,1998-12-11,History,122.0,7.1,203939.0,"A young Shakespeare, out of ideas and short of cash, meets his ideal woman and is inspired to write one of his most famous plays.",264317794.0,10.57271176
The Rugrats Movie,G,30000000.0,100491683.0,1998-11-20,Animation,79.0,5.9,17025.0,"Tommy, Chuckie, Phil and Lil gets lost in the forest after adopting a baby who has come to life.",70491683.0,2.3497227666666665
Rush Hour,PG-13,33000000.0,244386864.0,1998-09-18,Comedy,98.0,7.0,224449.0,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consuls kidnapped daughter, while trying to arrest a dangerous crime lord along the way.",211386864.0,6.405662545454545
Stepmom,PG-13,50000000.0,159700000.0,1998-12-25,Drama,124.0,6.8,56910.0,"A terminally-ill woman must deal with her ex-husbands new lover, who will be their childrens stepmother.",109700000.0,2.194
Patch Adams,PG-13,50000000.0,202292902.0,1998-12-25,Drama,115.0,6.8,97429.0,"The true story of a heroic man, Hunter Patch Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",152292902.0,3.04585804
The Truman Show,PG,60000000.0,264118201.0,1998-06-04,Comedy,103.0,8.1,859224.0,An insurance salesman discovers his whole life is actually a reality TV show.,204118201.0,3.4019700166666667
You've Got Mail,PG,65000000.0,250821495.0,1998-12-17,Romance,119.0,6.6,180707.0,Two business rivals who despise each other in real life unwittingly fall in love over the Internet.,185821495.0,2.8587922307692306
Saving Private Ryan,R,70000000.0,481840909.0,1998-07-24,War,169.0,8.6,1140752.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",411840909.0,5.8834415571428575
The Prince of Egypt,PG,70000000.0,218613188.0,1998-12-15,Animation,99.0,7.1,110340.0,An Egyptian prince learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,148613188.0,2.1230455428571426
Doctor Dolittle,PG-13,71000000.0,294456605.0,1998-06-22,Family,85.0,5.4,87146.0,A doctor discovers that he can communicate with animals.,223456605.0,3.1472761267605636
Deep Impact,PG-13,75000000.0,140464664.0,1998-05-08,Drama,120.0,6.2,153606.0,"Unless a comet can be destroyed before colliding with Earth, only those allowed into shelters will survive. Which people will survive?",65464664.0,0.8728621866666667
Mulan,G,90000000.0,304320254.0,1998-06-18,Animation,88.0,7.6,229669.0,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of Chinas greatest heroines in the process.",214320254.0,2.3813361555555557
Enemy of the State,R,90000000.0,250649836.0,1998-11-20,Thriller,132.0,7.3,216789.0,A lawyer becomes a target by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a serious politically motivated crime.,160649836.0,1.7849981777777777
The Mask of Zorro,PG-13,95000000.0,250288523.0,1998-07-16,Action,136.0,6.7,159093.0,"A young thief (Antonio Banderas), seeking revenge for the death of his brother, is trained by the once great, but aged Zorro (Sir Anthony Hopkins), who also pursues vengeance of his own.",155288523.0,1.6346160315789473
A Bug's Life,G,120000000.0,363258859.0,1998-11-25,Animation,95.0,7.2,251436.0,"A misfit ant, looking for warriors to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",243258859.0,2.0271571583333334
Godzilla,PG-13,130000000.0,379014294.0,1998-05-20,Thriller,139.0,5.4,174600.0,"A giant, reptilian monster surfaces, leaving destruction in its wake as it strides into New York City. To stop it, an earthworm scientist, his reporter ex-girlfriend, and other unlikely heroes team up to save their city.",249014294.0,1.9154945692307692
Armageddon,PG-13,140000000.0,553799566.0,1998-07-01,Science Fiction,151.0,6.7,376785.0,"After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, N.A.S.A. recruits a misfit team of deep core drillers to save the planet.",413799566.0,2.9557111857142857
Lethal Weapon 4,R,140000000.0,285444603.0,1998-07-10,Comedy,127.0,6.6,145685.0,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil.",145444603.0,1.0388900214285715
The Blair Witch Project,R,60000.0,248000000.0,1999-07-14,Horror,81.0,6.5,220304.0,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",247940000.0,5.1071109754298245
American Pie,R,11000000.0,235483004.0,1999-07-09,Comedy,95.0,7.0,357670.0,Four teenage boys enter a pact to lose their virginity by prom night.,224483004.0,20.40754581818182
American Beauty,R,15000000.0,356296601.0,1999-09-15,Drama,122.0,8.3,1007472.0,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.,341296601.0,22.753106733333333
Big Daddy,PG-13,34200000.0,234801895.0,1999-06-25,Comedy,93.0,6.4,188280.0,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesnt go as planned and he becomes the unlikely foster father.",200601895.0,5.865552485380117
The Sixth Sense,PG-13,40000000.0,672806292.0,1999-08-06,Thriller,107.0,8.1,860079.0,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,632806292.0,15.8201573
Notting Hill,PG-13,42000000.0,363889678.0,1999-05-13,Romance,124.0,7.1,251006.0,The life of a simple bookshop owner changes when he meets the most famous film star in the world.,321889678.0,7.664039952380953
The General's Daughter,R,60000000.0,149705852.0,1999-06-18,Thriller,116.0,6.3,49909.0,"When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point.",89705852.0,1.4950975333333334
The Green Mile,R,60000000.0,284600000.0,1999-12-10,Fantasy,189.0,8.6,1046936.0,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",224600000.0,3.743333333333333
The Matrix,R,63000000.0,463517383.0,1999-03-30,Science Fiction,136.0,8.7,1550148.0,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,400517383.0,6.357418777777778
Runaway Bride,PG,70000000.0,309457509.0,1999-07-30,Romance,116.0,5.5,88557.0,A reporter is assigned to write a story about a woman who has left a string of fiances at the altar.,239457509.0,3.4208215571428573
Double Jeopardy,R,70000000.0,177841558.0,1999-09-24,Crime,105.0,6.5,67389.0,"A woman framed for her husbands murder suspects he is still alive; as she has already been tried for the crime, she cant be re-prosecuted if she finds and kills him.",107841558.0,1.5405936857142857
Analyze This,R,80000000.0,176885658.0,1999-03-05,Comedy,103.0,6.7,139603.0,A comedy about a psychiatrist whose number one patient is an insecure mob boss.,96885658.0,1.211070725
The Mummy,PG-13,80000000.0,415885488.0,1999-04-16,Adventure,124.0,7.0,372009.0,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long-lost love.",335885488.0,4.1985686
Toy Story 2,G,90000000.0,497366869.0,1999-10-30,Animation,92.0,7.9,489299.0,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",407366869.0,4.526298544444445
Star Wars: Episode I - The Phantom Menace,PG,115000000.0,924317558.0,1999-05-19,Science Fiction,136.0,6.5,667362.0,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory.",809317558.0,7.037543982608696
Stuart Little,PG,133000000.0,300135367.0,1999-12-17,Family,84.0,5.9,117811.0,"The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him.",167135367.0,1.2566568947368422
The World Is Not Enough,PG-13,135000000.0,361832400.0,1999-11-08,Adventure,128.0,7.4,545440.0,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",226832400.0,1.68024
Tarzan,PG,150000000.0,448000000.0,1999-06-18,Animation,88.0,7.3,187724.0,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,298000000.0,1.9866666666666666
Wild Wild West,PG-13,170000000.0,222104681.0,1999-06-29,Western,106.0,4.9,146265.0,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War.",52104681.0,0.30649812352941175
"Crouching Tiger, Hidden Dragon",PG-13,17000000.0,213525736.0,2000-10-01,Romance,120.0,7.8,242878.0,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,196525736.0,11.560337411764706
Scary Movie,R,19000000.0,278019771.0,2000-07-07,Comedy,88.0,6.2,219032.0,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",259019771.0,13.63261952631579
Big Momma's House,PG-13,30000000.0,173959438.0,2000-05-31,Crime,98.0,5.1,77180.0,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",143959438.0,4.798647933333333
Remember the Titans,PG,30000000.0,136706683.0,2000-09-29,Drama,113.0,7.8,186997.0,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,106706683.0,3.556889433333333
Chicken Run,G,45000000.0,224834564.0,2000-06-21,Comedy,84.0,7.0,167036.0,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",179834564.0,3.9963236444444443
Traffic,R,48000000.0,207515725.0,2000-12-27,Drama,147.0,7.6,188060.0,"A conservative judge is appointed by the President to spearhead Americas escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug barons wife attempts to carry on the family business.",159515725.0,3.3232442708333334
Erin Brockovich,R,52000000.0,256271286.0,2000-03-17,Drama,131.0,7.3,161958.0,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a citys water supply.,204271286.0,3.9282939615384613
Meet the Parents,PG-13,55000000.0,330444045.0,2000-10-06,Comedy,108.0,7.0,296549.0,"Male nurse Greg Focker meets his girlfriends parents before proposing, but her suspicious father is every dates worst nightmare.",275444045.0,5.008073545454545
What Women Want,PG-13,70000000.0,374111707.0,2000-12-15,Comedy,127.0,6.4,182948.0,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",304111707.0,4.344452957142857
X-Men,PG-13,75000000.0,296339527.0,2000-07-13,Adventure,104.0,7.4,545440.0,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",221339527.0,2.9511936933333334
Nutty Professor II: The Klumps,PG-13,84000000.0,123307945.0,2000-07-27,Comedy,106.0,4.4,46222.0,"Scientist Sherman Klumps inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",39307945.0,0.4679517261904762
Cast Away,PG-13,90000000.0,429632142.0,2000-12-22,Drama,143.0,7.8,482899.0,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,339632142.0,3.773690466666667
Charlie's Angels,PG-13,92000000.0,264105545.0,2000-11-02,Comedy,98.0,5.5,166141.0,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",172105545.0,1.870712445652174
What Lies Beneath,PG-13,100000000.0,155464351.0,2000-07-21,Drama,130.0,6.6,111917.0,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,55464351.0,0.55464351
Gladiator,R,103000000.0,457640427.0,2000-05-01,Action,155.0,8.5,1243670.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,354640427.0,3.4431109417475727
The Patriot,R,110000000.0,215294342.0,2000-06-28,History,165.0,7.2,241120.0,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,105294342.0,0.9572212909090909
The Perfect Storm,PG-13,120000000.0,325756637.0,2000-03-15,Drama,130.0,6.4,148948.0,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,205756637.0,1.7146386416666666
How the Grinch Stole Christmas,PG,123000000.0,345141403.0,2000-11-17,Family,104.0,6.1,186192.0,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch (Jim Carrey), who plans on ruining Christmas for all of the citizens of the town.",222141403.0,1.8060276666666666
Mission: Impossible II,PG-13,125000000.0,546388105.0,2000-05-24,Adventure,123.0,6.1,296109.0,"I.M.F. Agent Ethan Hunt (Tom Cruise) is sent to Sydney, Australia to find and destroy a genetically modified disease called Chimera.",421388105.0,3.37110484
Dinosaur,PG,127500000.0,354248063.0,2000-05-19,Animation,82.0,6.5,48922.0,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,226748063.0,1.7784161803921568
American Pie 2,R,30000000.0,287553595.0,2001-08-10,Comedy,108.0,6.4,228537.0,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",257553595.0,8.585119833333334
Spy Kids,PG,35000000.0,147934180.0,2001-03-18,Family,88.0,5.4,101720.0,The children of secret-agent parents must save them from danger.,112934180.0,3.226690857142857
The Princess Diaries,G,37000000.0,165335153.0,2001-08-03,Romance,115.0,6.3,118754.0,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",128335153.0,3.468517648648649
The Fast and the Furious,PG-13,38000000.0,207283925.0,2001-06-22,Crime,106.0,6.8,327057.0,Los Angeles police officer Brian OConner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,169283925.0,4.454840131578948
Shrek,PG,60000000.0,484409218.0,2001-05-16,Animation,90.0,7.8,574978.0,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",424409218.0,7.073486966666667
A Beautiful Mind,PG-13,60000000.0,313542341.0,2001-12-11,Drama,135.0,8.2,788060.0,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",253542341.0,4.2257056833333335
Vanilla Sky,R,68000000.0,203388341.0,2001-12-10,Mystery,136.0,6.9,237238.0,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,135388341.0,1.9910050147058824
Dr. Dolittle 2,PG,70000000.0,176104344.0,2001-06-22,Comedy,87.0,4.7,39656.0,Dolittle must save a forest and a bears life.,106104344.0,1.515776342857143
Ocean's Eleven,PG-13,85000000.0,450717150.0,2001-12-07,Thriller,116.0,7.8,482386.0,Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.,365717150.0,4.302554705882353
Hannibal,PG-13,87000000.0,351692268.0,2001-02-08,Thriller,131.0,6.8,240535.0,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.",264692268.0,3.0424398620689654
Rush Hour 2,PG-13,90000000.0,347325802.0,2001-08-03,Comedy,90.0,6.6,188755.0,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",257325802.0,2.8591755777777776
Black Hawk Down,R,92000000.0,172989651.0,2001-12-28,War,144.0,7.7,345280.0,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,80989651.0,0.8803222934782609
